,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,France_result_value
44,44,657,97410013,97410100,2006-06-13,2006,Germany,Stuttgart,Gottlieb-Daimler-Stadion,52000.0,Groups,France,FRA,Switzerland,SUI,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
45,45,673,97410029,97410100,2006-06-18,2006,Germany,Leipzig,Zentralstadion,43000.0,Groups,France,FRA,South Korea,KOR,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
46,46,690,97410045,97410100,2006-06-23,2006,Germany,Cologne,"FIFA World Cup Stadium, Cologne",45000.0,Groups,Togo,TOG,France,FRA,0,0,0,2,0,2,France,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
47,47,699,97410056,97410200,2006-06-27,2006,Germany,Hanover,"FIFA World Cup Stadium, Hanover",43000.0,Round of 16,Spain,ESP,France,FRA,1,1,0,2,1,3,France,1.0,1.0,2.0,0.0,3.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
48,48,703,97410060,97410300,2006-07-01,2006,Germany,Frankfurt am Main,"FIFA World Cup Stadium, Frankfurt",48000.0,Quarterfinals,Brazil,BRA,France,FRA,0,0,0,1,0,1,France,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
49,49,705,97410062,97410400,2006-07-05,2006,Germany,Munich,"FIFA World Cup Stadium, Munich",66000.0,Semifinals,Portugal,POR,France,FRA,0,1,0,0,0,1,France,1.0,0.0,0.0,0.0,1.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
50,50,707,97410064,97410600,2006-07-09,2006,Germany,Berlin,Olympiastadion,69000.0,Finals,Italy,ITA,France,FRA,0,0,1,1,1,1,Italy,0.0,0.0,1.0,1.0,1.0,1.0,Champion,Finals,7.0,6.0,6.0
51,51,709,300061453,249722,2010-06-11,2010,South Africa,Cape Town,Cape Town Stadium,64100.0,Groups,Uruguay,URU,France,FRA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
52,52,727,300061451,249722,2010-06-17,2010,South Africa,Polokwane,Peter Mokaba Stadium,35370.0,Groups,France,FRA,Mexico,MEX,0,0,0,2,0,2,Mexico,0.0,0.0,2.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
53,53,741,300061449,249722,2010-06-22,2010,South Africa,Bloemfontein,Free State Stadium,39415.0,Groups,France,FRA,South Africa,RSA,0,2,1,0,1,2,South Africa,2.0,0.0,0.0,1.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
54,54,781,300186496,255931,2014-06-15,2014,Brazil,Porto Alegre,Estadio Beira-Rio,43012.0,Groups,France,FRA,Honduras,HON,1,0,2,0,3,0,France,1.0,0.0,2.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
55,55,796,300186514,255931,2014-06-20,2014,Brazil,Salvador,Arena Fonte Nova,51003.0,Groups,Switzerland,SUI,France,FRA,0,3,2,2,2,5,France,3.0,0.0,2.0,2.0,5.0,2.0,Groups,Groups,1.0,1.0,1.0
56,56,815,300186515,255931,2014-06-25,2014,Brazil,Rio de Janeiro,Estadio do Maracana,73749.0,Groups,Ecuador,ECU,France,FRA,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
57,57,822,300186462,255951,2014-06-30,2014,Brazil,Brasília,Estadio Nacional,67882.0,Round of 16,France,FRA,Nigeria,NGA,0,0,2,0,2,0,France,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
58,58,825,300186485,255953,2014-07-04,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74240.0,Quarterfinals,France,FRA,Germany,GER,0,1,0,0,0,1,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
59,59,840,300186462,255951,2014-06-30,2014,Brazil,Brasília,Estadio Nacional,67882.0,Round of 16,France,FRA,Nigeria,NGA,0,0,2,0,2,0,France,0.0,0.0,2.0,0.0,2.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
60,60,844,300186485,255953,2014-07-04,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74240.0,Quarterfinals,France,FRA,Germany,GER,0,1,0,0,0,1,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
