,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Uruguay_result_value
23,23,227,1925,251,1970-06-14,1970,Mexico,Mexico City,Estadio Azteca,26085.0,Quarterfinals,Uruguay,URU,Soviet Union,URS,0,0,1,0,1,0,Uruguay,0.0,0.0,1.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
24,24,228,1771,569,1970-06-17,1970,Mexico,Guadalajara,Jalisco,51261.0,Semifinals,Brazil,BRA,Uruguay,URU,1,1,2,0,3,1,Brazil,1.0,1.0,2.0,0.0,3.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
25,25,230,1843,3477,1970-06-20,1970,Mexico,Mexico City,Estadio Azteca,104403.0,Third place,West Germany,FRG,Uruguay,URU,1,0,0,0,1,0,West Germany,1.0,0.0,0.0,0.0,1.0,0.0,Third place,Third place,5.0,5.0,5.0
26,26,236,2098,262,1974-06-15,1974,Germany,Hanover,Niedersachsenstadion,55100.0,Groups,Uruguay,URU,Netherlands,NED,0,1,0,1,0,2,Netherlands,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
27,27,245,1996,262,1974-06-19,1974,Germany,Hanover,Niedersachsenstadion,13400.0,Groups,Bulgaria,BUL,Uruguay,URU,0,0,1,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
28,28,254,2181,262,1974-06-23,1974,Germany,Düsseldorf,Rheinstadion,28300.0,Groups,Sweden,SWE,Uruguay,URU,0,0,3,0,3,0,Sweden,0.0,0.0,3.0,0.0,3.0,0.0,Groups,Groups,1.0,1.0,1.0
29,29,371,585,308,1986-06-04,1986,Mexico,Querétaro,Estadio Corregidora,30500.0,Groups,Uruguay,URU,West Germany,FRG,1,0,0,1,1,1,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
30,30,382,522,308,1986-06-08,1986,Mexico,Nezahualcóyotl,Neza,26500.0,Groups,Denmark,DEN,Uruguay,URU,2,1,4,0,6,1,Denmark,2.0,1.0,4.0,0.0,6.0,1.0,Groups,Groups,1.0,1.0,1.0
31,31,394,712,308,1986-06-13,1986,Mexico,Nezahualcóyotl,Neza,20000.0,Groups,Scotland,SCO,Uruguay,URU,0,0,0,0,0,0,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
32,32,398,398,309,1986-06-16,1986,Mexico,Puebla,Cuauhtemoc,26000.0,Round of 16,Argentina,ARG,Uruguay,URU,1,0,0,0,1,0,Argentina,1.0,0.0,0.0,0.0,1.0,0.0,Round of 16,Round of 16,2.0,2.0,2.0
