,level_0,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,Germany_result_value
33,33,758,300061501,249717,2010-06-27,2010,South Africa,Bloemfontein,Free State Stadium,40510.0,Round of 16,Germany,GER,England,ENG,2,1,2,0,4,1,Germany,2.0,1.0,2.0,0.0,4.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
34,34,766,300061505,249718,2010-07-03,2010,South Africa,Cape Town,Cape Town Stadium,64100.0,Quarterfinals,Argentina,ARG,Germany,GER,0,1,0,3,0,4,Germany,1.0,0.0,3.0,0.0,4.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
35,35,769,300111114,249719,2010-07-07,2010,South Africa,Durban,Durban Stadium,60960.0,Semifinals,Germany,GER,Spain,ESP,0,0,0,1,0,1,Spain,0.0,0.0,1.0,0.0,1.0,0.0,Semifinals,Semifinals,4.0,4.0,4.0
36,36,770,300061510,249720,2010-07-10,2010,South Africa,Port Elizabeth,Port Elizabeth Stadium,36254.0,Third place,Uruguay,URU,Germany,GER,1,1,1,2,2,3,Germany,1.0,1.0,2.0,1.0,3.0,2.0,Third place,Third place,5.0,5.0,5.0
37,37,783,300186475,255931,2014-06-16,2014,Brazil,Salvador,Arena Fonte Nova,51081.0,Groups,Germany,GER,Portugal,POR,3,0,1,0,4,0,Germany,3.0,0.0,1.0,0.0,4.0,0.0,Groups,Groups,1.0,1.0,1.0
38,38,799,300186493,255931,2014-06-21,2014,Brazil,Fortaleza,Estadio Castelao,59621.0,Groups,Germany,GER,Ghana,GHA,0,0,2,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
39,39,816,300186469,255931,2014-06-26,2014,Brazil,Recife,Arena Pernambuco,41876.0,Groups,United States,USA,Germany,GER,0,0,0,1,0,1,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Groups,Groups,1.0,1.0,1.0
40,40,823,300186460,255951,2014-06-30,2014,Brazil,Porto Alegre,Estadio Beira-Rio,,Round of 16,Germany,GER,Algeria,ALG,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
41,41,825,300186485,255953,2014-07-04,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74240.0,Quarterfinals,France,FRA,Germany,GER,0,1,0,0,0,1,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
42,42,826,300186474,255955,2014-07-08,2014,Brazil,Belo Horizonte,Estadio Mineirao,58141.0,Semifinals,Brazil,BRA,Germany,GER,0,5,1,2,1,7,Germany,5.0,0.0,2.0,1.0,7.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
43,43,828,300186501,255959,2014-07-13,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74738.0,Finals,Germany,GER,Argentina,ARG,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,7.0
44,44,841,300186460,255951,2014-06-30,2014,Brazil,Porto Alegre,Estadio Beira-Rio,,Round of 16,Germany,GER,Algeria,ALG,0,0,2,1,2,1,Germany,0.0,0.0,2.0,1.0,2.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
45,45,844,300186485,255953,2014-07-04,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74240.0,Quarterfinals,France,FRA,Germany,GER,0,1,0,0,0,1,Germany,1.0,0.0,0.0,0.0,1.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
46,46,848,300186474,255955,2014-07-08,2014,Brazil,Belo Horizonte,Estadio Mineirao,58141.0,Semifinals,Brazil,BRA,Germany,GER,0,5,1,2,1,7,Germany,5.0,0.0,2.0,1.0,7.0,1.0,Semifinals,Semifinals,4.0,4.0,4.0
47,47,851,300186501,255959,2014-07-13,2014,Brazil,Rio de Janeiro,Estadio do Maracana,74738.0,Finals,Germany,GER,Argentina,ARG,0,0,1,0,1,0,Germany,0.0,0.0,1.0,0.0,1.0,0.0,Champion,Finals,7.0,6.0,7.0
